id,type,category,name,translation,file,sounds,error,ini
2078,PACENOTE,CORNERS,EM_SCALE,4+,three_plus_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2078,PACENOTE,CORNERS,EM_SCALE,4+,three_plus_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2079,PACENOTE,CORNERS,PLUS_SCALE,3+,two_plus_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2079,PACENOTE,CORNERS,PLUS_SCALE,3+,two_plus_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2080,PACENOTE,CORNERS,K_SCALE,3,two_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2080,PACENOTE,CORNERS,K_SCALE,3,two_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2081,PACENOTE,CORNERS,SQUARE_SCALE,2,square_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2081,PACENOTE,CORNERS,SQUARE_SCALE,2,square_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2082,PACENOTE,CORNERS,MINUS_SCALE,1+,one_plus_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2082,PACENOTE,CORNERS,MINUS_SCALE,1+,one_plus_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2083,PACENOTE,CORNERS,SLOW_SCALE,1,one_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2083,PACENOTE,CORNERS,SLOW_SCALE,1,one_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2084,PACENOTE,CORNERS,VERYSLOW_SCALE,Kehre+,hp_plus_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2084,PACENOTE,CORNERS,VERYSLOW_SCALE,Kehre+,hp_plus_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2085,PACENOTE,ADDITIONAL,REMEMBER,Merken,remember.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
2085,PACENOTE,ADDITIONAL,REMEMBER,Merken,remember.ogg,2,,pacenotes/Rbr.ini/additional/Extended.ini
2086,PACENOTE,ADDITIONAL,PATIENT,Geduld,patient.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
2086,PACENOTE,ADDITIONAL,PATIENT,Geduld,patient.ogg,2,,pacenotes/Rbr.ini/additional/Extended.ini
2087,PACENOTE,OBSTACLES,SMALL_JUMP,Kleiner Sprung,small_jump.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
2087,PACENOTE,OBSTACLES,SMALL_JUMP,Kleiner Sprung,small_jump.ogg,2,,pacenotes/Rbr.ini/obstacles/Extended.ini
2088,PACENOTE,OBSTACLES,OVER_BIG_JUMP,Über Großen Sprung,over_big_jump.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
2088,PACENOTE,OBSTACLES,OVER_BIG_JUMP,Über Großen Sprung,over_big_jump.ogg,2,,pacenotes/Rbr.ini/obstacles/Extended.ini
2089,PACENOTE,OBSTACLES,CONTINUESOVERSMALLCREST,Über Kleine Kuppe,continues_over_small_crest.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
2089,PACENOTE,OBSTACLES,CONTINUESOVERSMALLCREST,Über Kleine Kuppe,continues_over_small_crest.ogg,2,,pacenotes/Rbr.ini/obstacles/Extended.ini
2090,PACENOTE,OBSTACLES,LONGCREST,Kuppe lang,long_crest.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
2090,PACENOTE,OBSTACLES,LONGCREST,Kuppe lang,long_crest.ogg,2,,pacenotes/Rbr.ini/obstacles/Extended.ini
2091,PACENOTE,OBSTACLES,RUT,Rille,rut.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
2091,PACENOTE,OBSTACLES,RUT,Rille,rut.ogg,2,,pacenotes/Rbr.ini/obstacles/Extended.ini
2092,PACENOTE,OBSTACLES,TO_BUMP,Schlag,to_bump.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/obstacles/Extended.ini
2092,PACENOTE,OBSTACLES,TO_BUMP,Schlag,to_bump.ogg,2,,pacenotes/Rbr.ini/obstacles/Extended.ini
2093,PACENOTE,LINE,TWISTY_FROMLEFT,Schlenker Links,twisty_from_left.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
2093,PACENOTE,LINE,TWISTY_FROMLEFT,Schlenker Links,twisty_from_left.ogg,2,,pacenotes/Rbr.ini/line/Extended.ini
2094,PACENOTE,LINE,TWISTY_FROMRIGHT,Schlenker Rechts,twisty_from_right.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
2094,PACENOTE,LINE,TWISTY_FROMRIGHT,Schlenker Rechts,twisty_from_right.ogg,2,,pacenotes/Rbr.ini/line/Extended.ini
2095,PACENOTE,LINE,DONTBLOCK,Pfosten,post.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
2095,PACENOTE,LINE,DONTBLOCK,Pfosten,post.ogg,2,,pacenotes/Rbr.ini/line/Extended.ini
